treeMaker->Scan("eventId:AK8PuppijetP4[0].Pt():AK8PuppijetP4[0].Eta():AK8PuppijetP4[0].Phi():AK8PuppijetP4[0].M():AK8PuppijetP4[1].Pt():AK8PuppijetP4[1].Eta():AK8PuppijetP4[1].Phi():AK8PuppijetP4[1].M():AK8PuppijetSDmass[0]:AK8PuppijetSDmass[1]","eventId<=100")
************************************************************************************************************************************************
*    Row   *   eventId * AK8Puppij * AK8Puppij * AK8Puppij * AK8Puppij * AK8Puppij * AK8Puppij * AK8Puppij * AK8Puppij * AK8Puppij * AK8Puppij *
Type <CR> to continue or q to quit ==> 
*       50 *        51 * 550.24116 * -1.696709 * 1.7660613 * 110.84535 * 451.44645 * 0.4956125 * -1.404856 * 109.13174 * 79.493049 * 99.826477 *
*       51 *        52 * 1039.3662 * -0.116447 * -1.091032 * 109.74089 * 866.78236 * -0.221499 * 2.0759912 * 149.78954 * 42.786731 * 108.00099 *
*       52 *        53 * 1036.5909 * 0.5797100 * 1.3064262 * 136.61934 * 974.83662 * 0.6062791 * -1.818736 * 213.77559 * 103.13145 * 126.45370 *
*       53 *        54 * 940.37352 * 0.6087661 * -0.020619 * 142.66899 * 685.47036 * 0.9971438 * -3.086432 * 118.42709 * 118.13542 * 103.18793 *
*       54 *        55 * 956.39187 * 0.4058575 * -1.072514 * 113.21753 * 801.18150 * -0.191592 * 2.0535929 * 103.83691 * 6.3461070 * 2.5860431 *
*       55 *        56 * 848.05287 * 1.2660773 * 2.2074354 * 131.57677 * 768.72519 * 0.4319129 * -0.964328 * 173.20496 * 102.34631 * 157.13731 *
*       56 *        57 * 885.59001 * 0.3444904 * -3.059715 * 132.46088 * 831.45397 * 0.4351896 * 0.0528909 * 111.81226 * 2.0965085 * 93.298996 *
*       57 *        58 * 885.30395 * -0.273337 * -2.326398 * 134.07786 * 405.48542 * 1.7175271 * 0.8730497 * 58.548333 * 3.8355033 * 3.9980044 *
*       58 *        59 * 862.43988 * -0.226798 * -1.090110 * 122.44187 * 642.75043 * 0.3536198 * 2.1954293 * 100.07680 * 111.50676 * 88.021736 *
*       59 *        60 * 928.59943 * -1.734178 * -1.799070 * 141.14701 * 867.78691 * -0.862709 * 1.4408245 * 122.51324 * 116.63472 * 92.713134 *
*       60 *        61 * 907.48950 * 0.4463972 * 0.8605037 * 127.88253 * 812.36070 * -0.142324 * -2.244902 * 119.64582 * 7.5345754 * 105.69712 *
*       61 *        62 * 1029.1413 * -0.659037 * 0.6300443 * 120.79171 * 971.70187 * -0.922144 * -2.676186 * 99.578746 * 108.63474 * 88.137039 *
*       62 *        63 *  914.1344 * 0.4175253 * 2.3260781 * 127.36389 * 807.26345 * -0.325799 * -0.549075 * 131.62993 * 105.05437 * 105.15806 *
*       63 *        64 * 1068.3887 * -0.263474 * -1.041005 * 128.36576 * 959.40404 * 0.1875114 * 2.4927004 * 138.90288 * 116.13438 * 119.02973 *
*       64 *        65 * 790.16078 * -0.087493 * -3.084727 * 123.91266 * 740.73756 * 1.4556608 * 0.1705926 * 140.04359 * 104.88105 * 110.26990 *
*       65 *        66 * 1123.6956 * 0.1024196 * -0.722657 * 134.85274 * 852.53689 * 0.4414393 * 1.8174502 * 113.75147 * 13.127858 * 93.856262 *
*       66 *        67 * 1121.3484 * 0.8919724 * -2.210578 * 134.23770 * 876.12537 * 0.8219106 * 1.0372798 * 139.10392 * 115.65100 * 112.38453 *
*       67 *        68 * 1004.4387 * 0.7805028 * 2.9373600 * 169.73608 * 950.75902 * 0.7687143 * -0.174910 * 127.42532 * 125.85082 * 107.32140 *
*       68 *        69 * 915.20682 * 0.1204136 * 2.9232306 * 113.68312 * 863.31306 * 0.2068992 * -0.530202 * 181.71759 * 87.455902 * 124.72115 *
*       69 *        70 * 1885.2177 * -0.452909 * -0.905052 * 90.307665 * 1680.1044 * 0.0527879 * 1.8413696 * 145.76982 * 7.629e-06 * 112.57850 *
*       70 *        71 * 1040.5661 * -0.186922 * 0.9879452 * 128.55482 * 881.68032 * -0.217479 * -1.982013 * 122.95604 * 115.46578 * 103.13011 *
*       71 *        72 * 970.41093 * -0.180386 * -2.656838 * 141.49450 * 635.63038 * 0.0454056 * 0.5088151 * 83.790137 * 110.44994 * 67.546516 *
*       72 *        73 * 791.85737 * 0.2156412 * 1.5004798 * 91.594666 * 765.83094 * 0.6266431 * -1.738583 * 114.76883 * 12.628550 * 101.90836 *
*       73 *        74 * 1123.8931 * 0.0198955 * 0.2287328 * 221.44818 * 871.93966 * -0.117808 * 2.7958252 * 155.93407 * 77.645179 * 95.216133 *
*       74 *        75 * 958.62249 * 0.0477355 * -0.908170 * 124.33091 * 702.06439 * -0.337301 * 2.1828287 * 107.03150 * 107.43553 * 91.415267 *
Type <CR> to continue or q to quit ==> 
*       75 *        76 * 1238.4215 * -0.036273 * -0.030416 * 143.44768 * 1217.7071 * -0.019208 * 2.9858631 * 329.70129 * 72.414344 * 305.03448 *
*       76 *        77 * 2163.5501 * 0.2031596 * 0.5854068 * 146.82452 * 1427.8105 * -1.326255 * -2.271895 * 161.16142 * 104.53517 * 70.172142 *
*       77 *        78 * 886.69044 * 1.2738007 * 0.2367066 * 124.25134 * 798.78553 * 0.0147027 * -3.004758 * 91.047456 * 4.2930984 * 19.190515 *
*       78 *        79 * 987.84262 * 0.0892211 * -2.820691 * 137.77554 * 798.21309 * 0.4796025 * 0.4291245 * 108.47340 * 12.063681 * 90.003685 *
*       79 *        80 * 1064.3645 * 0.1760500 * -0.438195 * 228.16002 * 935.09557 * 0.9449655 * 2.6736996 * 147.78754 * 129.29414 * 121.85022 *
*       80 *        81 * 754.54298 * 0.2331137 * 2.7889710 * 103.39020 * 677.18913 * 0.8655440 * -0.335915 * 116.57430 * 84.436904 * 88.587287 *
*       81 *        82 * 871.78325 * -0.187909 * 2.6514488 * 129.27389 * 841.99819 * -0.526774 * -0.358538 * 108.25021 * 113.16869 * 86.318206 *
*       82 *        83 * 1024.8693 * 0.4963267 * 2.0358588 * 141.23793 * 700.47795 * 0.3755514 * -1.144767 * 122.10912 * 124.16574 * 83.908165 *
*       83 *        84 * 1195.7754 * 0.6799955 * -2.522684 * 148.17509 * 767.78562 * 0.1051438 * 0.5691162 * 135.12635 * 26.183055 * 113.31729 *
*       84 *        85 * 898.57389 * -0.032975 * -2.340508 * 152.47845 * 824.82169 * 0.5601209 * 0.4049404 * 100.26602 * 129.37162 * 86.610527 *
*       85 *        86 * 943.33762 * 0.3945093 * -2.689434 * 135.23883 * 904.83648 * -0.383067 * 0.3342325 * 141.57563 * 120.92348 * 118.91904 *
*       86 *        87 * 1108.4912 * -1.040875 * -0.176359 * 151.44908 * 889.21004 * -0.828270 *  3.058261 * 125.72131 * 126.71622 * 113.62191 *
*       87 *        88 * 974.71223 * -0.361504 * 2.9708908 * 126.78533 * 801.97309 * -0.936957 * -0.334352 * 125.36817 * 103.66459 * 105.37227 *
*       88 *        89 * 926.26793 * 0.3421081 * -3.006267 * 127.97654 * 903.10408 * -0.248231 * 0.1482634 * 140.15245 * 113.32920 * 118.57614 *
*       89 *        90 * 979.44672 * 0.9254674 * -1.067043 * 154.80382 * 899.07678 * 0.0211143 * 2.1080256 * 137.95192 * 137.68495 * 124.95587 *
*       90 *        91 * 958.77992 * -0.653360 * 1.0427376 * 130.96705 * 711.74161 * -0.214989 * -1.946229 * 89.747835 * 117.87318 * 80.873718 *
*       91 *        92 * 520.57282 * 0.3145286 * 3.1029596 * 48.093800 * 482.61723 * -1.773232 * 0.0512383 * 109.30397 * 7.0622263 * 87.711685 *
*       92 *        93 * 748.65605 * -0.227036 * -0.398942 * 160.30454 * 534.56521 * 1.4886437 * 3.0068967 * 113.11208 * 129.72554 * 95.025993 *
*       93 *        94 * 1249.6261 * 0.4393058 * 0.8680113 * 375.35862 * 995.73264 * 0.1947081 * -2.308149 * 115.35570 * 345.42254 * 51.620575 *
*       94 *        95 * 953.24919 * 1.0024406 * -2.248459 * 134.93558 * 715.76792 * 0.6320646 * 0.3882588 * 90.708342 * 113.25800 * 78.264320 *
*       95 *        96 * 981.61343 * -0.444896 * -1.964035 * 130.31191 * 655.70968 * -0.158688 * 1.2489580 * 113.95304 * 105.28290 * 85.905334 *
*       96 *        97 * 586.00906 * 2.0096205 * -1.937076 * 116.41703 * 448.25218 * -0.012895 * 1.2061239 * 79.095975 * 101.94702 * 70.770324 *
*       97 *        98 * 1055.6647 * 0.5920581 * 2.8062264 * 121.31234 * 830.57386 * 0.7872304 * -0.839106 * 123.12071 * 104.13176 * 49.200363 *
*       98 *        99 * 841.74525 * 0.5346505 * 0.8723876 * 97.125331 * 801.18827 * 0.3184021 * -2.188401 * 103.43596 * 48.253185 * 89.153869 *
*       99 *       100 * 1038.3959 * -0.051963 * 0.8351915 * 190.53155 * 991.05421 * 0.1406685 * -2.247249 * 129.80759 * 122.35401 * 110.21553 *
Type <CR> to continue or q to quit ==> 
************************************************************************************************************************************************
==> 100 selected entries
